hidden_dims,dropout,lr,seed,macro_ap,micro_ap,runtime_s,epochs,ap_bell_ringing,ap_coffee_machine,ap_cutlery_dishes,ap_door_open_close,ap_footsteps,ap_keyboard_typing,ap_keychain,ap_light_switch,ap_microwave,ap_phone_ringing,ap_running_water,ap_toilet_flushing,ap_vacuum_cleaner,ap_wardrobe_drawer_open_close,ap_window_open_close
512-256,0.45,0.001,42,0.5993694067001343,0.6939282782723875,67.08794069290161,43,0.4769456088542938,0.6573161482810974,0.7613184452056885,0.4670945703983307,0.6434227228164673,0.8599657416343689,0.7058087587356567,0.11811574548482895,0.7405756711959839,0.7229851484298706,0.8309183716773987,0.6468411684036255,0.7741819024085999,0.3075524866580963,0.2774995267391205
768-384,0.45,0.001,42,0.5973041653633118,0.6931234678468458,53.01431059837341,33,0.4110075533390045,0.6669163107872009,0.7593477368354797,0.4742061495780945,0.6527300477027893,0.8657085299491882,0.7116770148277283,0.12050096690654755,0.7187416553497314,0.722780168056488,0.8317527174949646,0.6576728820800781,0.7662476301193237,0.3139614164829254,0.28631213307380676
512-256,0.47,0.001,42,0.5966197848320007,0.6937958141691728,64.47963547706604,43,0.4576413631439209,0.6622068285942078,0.758251965045929,0.47496241331100464,0.637150764465332,0.865476667881012,0.6974698901176453,0.12191317975521088,0.7292632460594177,0.7189928889274597,0.8352212309837341,0.6476749181747437,0.7681371569633484,0.29872557520866394,0.27620863914489746
512-256,0.45,0.001,123,0.5960748195648193,0.6908133908760927,55.49782633781433,38,0.44967833161354065,0.6287843585014343,0.7446059584617615,0.4635021984577179,0.6472375392913818,0.8626284003257751,0.7139044404029846,0.11789707094430923,0.7295953035354614,0.7319616079330444,0.8287973403930664,0.643338680267334,0.7917201519012451,0.3017307221889496,0.28573936223983765
512-256,0.45,0.0007,42,0.5959939360618591,0.6984953418297769,56.20506286621094,38,0.42641565203666687,0.6422646045684814,0.7548054456710815,0.4732445478439331,0.6460959315299988,0.8694157004356384,0.7069255113601685,0.12790411710739136,0.7331762909889221,0.7097423672676086,0.8294755816459656,0.6568774580955505,0.7764230370521545,0.31141531467437744,0.2757266163825989
512-256,0.45,0.0013,42,0.5957182049751282,0.694561265832213,53.734962463378906,38,0.4400303065776825,0.6553118228912354,0.7554047107696533,0.4772675335407257,0.6386565566062927,0.862179160118103,0.7046059966087341,0.12457523494958878,0.7258070707321167,0.7240747213363647,0.8290581703186035,0.6439720988273621,0.7799808979034424,0.30551111698150635,0.26933664083480835
512-256,0.5,0.001,42,0.5954894423484802,0.6864717435618366,65.70982193946838,45,0.4814826250076294,0.6488516330718994,0.7512544393539429,0.4619271755218506,0.635289192199707,0.8661707043647766,0.7059321999549866,0.12579604983329773,0.7183319926261902,0.7143937945365906,0.8322162628173828,0.6401352286338806,0.776981770992279,0.30490970611572266,0.2686692774295807
768-384,0.4,0.001,42,0.5916199088096619,0.6925325739196568,53.164451599121094,36,0.40016600489616394,0.6386731863021851,0.7453950643539429,0.47752904891967773,0.659582257270813,0.8680594563484192,0.7066208124160767,0.10196179151535034,0.7297645211219788,0.7199404835700989,0.8218011856079102,0.6459013819694519,0.7708236575126648,0.3017856776714325,0.2862953543663025
512-256,0.45,0.001,7,0.5914843678474426,0.6905436044161685,45.386351585388184,32,0.42352885007858276,0.6390114426612854,0.7452582716941833,0.47108182311058044,0.6405915021896362,0.8631671071052551,0.6984032392501831,0.1174798309803009,0.7333846688270569,0.7174657583236694,0.8393039107322693,0.6481539011001587,0.7692078351974487,0.3147205710411072,0.25150731205940247
512-256,0.43,0.001,42,0.5884715914726257,0.6835758728982385,33.68837070465088,22,0.45841458439826965,0.6564413905143738,0.7448068261146545,0.456607848405838,0.6241502165794373,0.8605663776397705,0.70093834400177,0.13227646052837372,0.7224713563919067,0.6918926239013672,0.8304740190505981,0.6520884037017822,0.7539969086647034,0.2821568250656128,0.2597920298576355
