strategy,member_count,macro_ap,micro_ap,members,anchor_weight
top_k,10,0.61574786901474,0.7150797548680596,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_best_torch_cuda.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_512-256_d0.47_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_1024-512_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s123.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_04_512-256_d0.45_lr0.0007_s42.pt""]",
greedy,3,0.6151735186576843,0.7135738666847198,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s123.pt""]",
top_k,8,0.6149603128433228,0.7135499798591493,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_best_torch_cuda.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_512-256_d0.47_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_1024-512_d0.45_lr0.001_s42.pt""]",
top_k,7,0.614204466342926,0.7128771055280675,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_best_torch_cuda.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_512-256_d0.47_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",
pair_weighted,2,0.6111762523651123,0.7095982267939028,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.6
greedy,2,0.6110338568687439,0.710064571202576,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",
pair_weighted,2,0.6110338568687439,0.710064571202576,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.5
top_k,6,0.6108554005622864,0.7083908265180512,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_best_torch_cuda.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_512-256_d0.47_lr0.001_s42.pt""]",
pair_weighted,2,0.6105890870094299,0.7083344431054762,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.7000000000000001
pair_weighted,2,0.6103354096412659,0.7098537297442646,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.4
