model,macro_ap,micro_ap,ap_bell_ringing,ap_coffee_machine,ap_cutlery_dishes,ap_door_open_close,ap_footsteps,ap_keyboard_typing,ap_keychain,ap_light_switch,ap_microwave,ap_phone_ringing,ap_running_water,ap_toilet_flushing,ap_vacuum_cleaner,ap_wardrobe_drawer_open_close,ap_window_open_close
class_prior,0.06358323991298676,0.12071314403081619,0.018077947199344635,0.03588198497891426,0.07446391880512238,0.05137736722826958,0.1556972861289978,0.09841132909059525,0.05701205134391785,0.005439036060124636,0.07524652034044266,0.08311159908771515,0.1533103734254837,0.03819064050912857,0.06706839799880981,0.02246047928929329,0.017999686300754547
logistic_regression,0.5287486910820007,0.6636607060520081,0.2741972506046295,0.5027838349342346,0.6459487080574036,0.37847796082496643,0.6089297533035278,0.8253598213195801,0.6100725531578064,0.07072285562753677,0.7579717040061951,0.70318204164505,0.864527702331543,0.5814750790596008,0.7336987257003784,0.23839013278484344,0.135491743683815
mlp,0.6380807757377625,0.7543889168250159,0.4498077630996704,0.6472135782241821,0.754819393157959,0.5010545253753662,0.67436283826828,0.8605225682258606,0.7379636168479919,0.10848381370306015,0.7928524613380432,0.7696347832679749,0.9246185421943665,0.7700716257095337,0.8474264144897461,0.3626478612422943,0.369731605052948
