backend,feature_key,lr,weight_decay,pos_weight_max,macro_ap,micro_ap,runtime_s,epochs,ap_bell_ringing,ap_coffee_machine,ap_cutlery_dishes,ap_door_open_close,ap_footsteps,ap_keyboard_typing,ap_keychain,ap_light_switch,ap_microwave,ap_phone_ringing,ap_running_water,ap_toilet_flushing,ap_vacuum_cleaner,ap_wardrobe_drawer_open_close,ap_window_open_close
torch_cuda_linear,features_context,0.003,0.0001,10.0,0.493632435798645,0.6115819203493764,51.583171367645264,48,0.3183489143848419,0.5322738885879517,0.6494612097740173,0.36655738949775696,0.5799961090087891,0.8194457292556763,0.5885223150253296,0.05966569855809212,0.6378646492958069,0.6832497715950012,0.7451948523521423,0.42207837104797363,0.667665958404541,0.19878742098808289,0.1353742778301239
torch_cuda_linear,features_context,0.003,0.0001,20.0,0.49218133091926575,0.5951822010529334,54.61734127998352,48,0.3347230851650238,0.5269860029220581,0.6492019295692444,0.36874592304229736,0.5799961090087891,0.8194457292556763,0.5830699801445007,0.062297917902469635,0.6313437819480896,0.6782910823822021,0.7451948523521423,0.41158777475357056,0.6566519141197205,0.1908739060163498,0.1443098783493042
torch_cuda_linear,features_context,0.003,0.001,20.0,0.4921749532222748,0.5951912435802383,53.42186689376831,48,0.33459922671318054,0.5270153284072876,0.6492114067077637,0.3687198758125305,0.579983115196228,0.8194854259490967,0.5830485820770264,0.0622866228222847,0.6313815712928772,0.6783077716827393,0.7451844811439514,0.411581814289093,0.656657874584198,0.19088594615459442,0.1442757248878479
torch_cuda_linear,features_context,0.003,0.01,20.0,0.49211546778678894,0.5952644707616789,53.08458590507507,48,0.333770751953125,0.5272108316421509,0.6493111252784729,0.36873340606689453,0.5798671841621399,0.8198723793029785,0.5827891826629639,0.06215424835681915,0.6316595673561096,0.6783372759819031,0.7450265288352966,0.41129618883132935,0.6566025018692017,0.1909814327955246,0.14411994814872742
torch_cuda_linear,features_context,0.001,0.01,20.0,0.4890543520450592,0.5897135679928223,85.44900298118591,77,0.3206161856651306,0.524482011795044,0.6499987244606018,0.35458096861839294,0.567292332649231,0.8075883388519287,0.6024304628372192,0.05790691450238228,0.630662739276886,0.684146523475647,0.7501682043075562,0.40735340118408203,0.6670273542404175,0.18743453919887543,0.12412635236978531
torch_cuda_linear,features_context,0.001,0.0001,20.0,0.48903220891952515,0.5897662012998512,86.64041328430176,77,0.3204585015773773,0.5242544412612915,0.6500301361083984,0.354316383600235,0.5672951340675354,0.8076089024543762,0.6024922132492065,0.057922981679439545,0.6308086514472961,0.6842049956321716,0.7501659989356995,0.407381534576416,0.6670114994049072,0.18745478987693787,0.12407690286636353
torch_cuda_linear,features_context,0.001,0.001,20.0,0.4890260398387909,0.5897576220939289,84.96351909637451,77,0.32043054699897766,0.524280846118927,0.6500218510627747,0.35432636737823486,0.5672948956489563,0.8076064586639404,0.6024834513664246,0.05792779475450516,0.6307892799377441,0.6841445565223694,0.7501652836799622,0.407381534576416,0.6670085191726685,0.18744777143001556,0.12408140301704407
torch_cuda_linear,features_context,0.003,0.0001,None,0.4882355332374573,0.6180237796423019,92.00666236877441,80,0.3345806896686554,0.5060617327690125,0.6356456875801086,0.33755841851234436,0.6007046103477478,0.8336965441703796,0.6091375350952148,0.03025360032916069,0.6478925347328186,0.709012508392334,0.7606600522994995,0.4057077467441559,0.6677163243293762,0.17011931538581848,0.07478541135787964
torch_cuda_linear,features_context,0.006,0.0001,20.0,0.4872286021709442,0.5910409594948834,41.49862742424011,38,0.3323768973350525,0.5389654636383057,0.6463679671287537,0.339033305644989,0.5738853812217712,0.8130887746810913,0.6057947874069214,0.07910946756601334,0.6466156244277954,0.6675401329994202,0.7446088194847107,0.4120774567127228,0.6246318221092224,0.15128447115421295,0.13304835557937622
torch_cuda_linear,features_context,0.0013,0.0001,20.0,0.4867425560951233,0.5886093393552915,63.278728008270264,58,0.3094634413719177,0.5281283855438232,0.6423215270042419,0.3720981180667877,0.5763885974884033,0.8141613602638245,0.6015934348106384,0.05687308311462402,0.6202250719070435,0.6771019101142883,0.753227949142456,0.39799872040748596,0.6471275687217712,0.1859033852815628,0.11852561682462692
