hidden_dims,dropout,lr,macro_ap,micro_ap,runtime_s,epochs,ap_bell_ringing,ap_coffee_machine,ap_cutlery_dishes,ap_door_open_close,ap_footsteps,ap_keyboard_typing,ap_keychain,ap_light_switch,ap_microwave,ap_phone_ringing,ap_running_water,ap_toilet_flushing,ap_vacuum_cleaner,ap_wardrobe_drawer_open_close,ap_window_open_close,seed
512-256,0.45,0.0013,0.5957182049751282,0.694561265832213,53.734962463378906,38,0.4400303065776825,0.6553118228912354,0.7554047107696533,0.4772675335407257,0.6386565566062927,0.862179160118103,0.7046059966087341,0.12457523494958878,0.7258070707321167,0.7240747213363647,0.8290581703186035,0.6439720988273621,0.7799808979034424,0.30551111698150635,0.26933664083480835,42.0
512-256,0.5,0.001,0.5954894423484802,0.6864717435618366,65.70982193946838,45,0.4814826250076294,0.6488516330718994,0.7512544393539429,0.4619271755218506,0.635289192199707,0.8661707043647766,0.7059321999549866,0.12579604983329773,0.7183319926261902,0.7143937945365906,0.8322162628173828,0.6401352286338806,0.776981770992279,0.30490970611572266,0.2686692774295807,42.0
1024-512,0.4,0.0013,0.594900906085968,0.6824994608861819,36.90696620941162,22,0.430006206035614,0.6270003914833069,0.7532756924629211,0.4787357747554779,0.653267502784729,0.8570308089256287,0.6867096424102783,0.1321540623903274,0.729882538318634,0.713408350944519,0.8301308155059814,0.6479536294937134,0.7855167388916016,0.2958638668060303,0.3025763034820556,42.0
1024-512,0.5,0.001,0.5948406457901001,0.6906546126465356,40.03431749343872,25,0.4263077676296234,0.6464598774909973,0.7510088682174683,0.4704011976718902,0.6468630433082581,0.8652306795120239,0.6793660521507263,0.1235554069280624,0.7432370781898499,0.7075961232185364,0.8246992826461792,0.6559306383132935,0.7856380343437195,0.3023577928543091,0.2939577996730804,42.0
1024-512-256,0.4,0.001,0.5944974422454834,0.683676728491096,57.43037390708923,33,0.4321344792842865,0.6489329934120178,0.7491312026977539,0.4626053869724273,0.6610754132270813,0.857133686542511,0.6900203227996826,0.1098558902740478,0.7192220091819763,0.712536633014679,0.8327288031578064,0.6624774932861328,0.7713386416435242,0.3283018171787262,0.2799660861492157,42.0
1024-512,0.4,0.001,0.5932979583740234,0.6921937126345697,50.30205845832825,31,0.4351674318313598,0.6347233057022095,0.732002317905426,0.4778668284416199,0.6630771160125732,0.8611235618591309,0.684779167175293,0.1042649000883102,0.7344788312911987,0.7176365852355957,0.8215498924255371,0.6495439410209656,0.7669627070426941,0.3170409202575683,0.2992519438266754,123.0
1024-512,0.4,0.001,0.5923358798027039,0.6928885901785322,48.566033363342285,29,0.4370056092739105,0.6294384598731995,0.7530774474143982,0.458362728357315,0.6602025628089905,0.858450710773468,0.696402370929718,0.1108347550034523,0.7297265529632568,0.704910397529602,0.8252424597740173,0.6378230452537537,0.7895122766494751,0.3101939558982849,0.2838549613952636,42.0
768-384,0.4,0.001,0.5916199088096619,0.6925325739196568,53.164451599121094,36,0.40016600489616394,0.6386731863021851,0.7453950643539429,0.47752904891967773,0.659582257270813,0.8680594563484192,0.7066208124160767,0.10196179151535034,0.7297645211219788,0.7199404835700989,0.8218011856079102,0.6459013819694519,0.7708236575126648,0.3017856776714325,0.2862953543663025,42.0
512-256,0.45,0.001,0.5914843678474426,0.6905436044161685,45.386351585388184,32,0.42352885007858276,0.6390114426612854,0.7452582716941833,0.47108182311058044,0.6405915021896362,0.8631671071052551,0.6984032392501831,0.1174798309803009,0.7333846688270569,0.7174657583236694,0.8393039107322693,0.6481539011001587,0.7692078351974487,0.3147205710411072,0.25150731205940247,7.0
1024-512,0.4,0.001,0.5914491415023804,0.6917119101954601,24.980005741119385,15,0.3853825628757477,0.6454484462738037,0.751311719417572,0.4676950573921203,0.6537091732025146,0.8643390536308289,0.6899241805076599,0.1264590620994568,0.711115300655365,0.7096570730209351,0.8300045728683472,0.6467730402946472,0.7861967086791992,0.310889184474945,0.2928313016891479,
512-256,0.4,0.001,0.5899054408073425,0.6812702357979419,28.72692084312439,21,0.4377277493476867,0.6704846024513245,0.7489235401153564,0.4597950279712677,0.6316237449645996,0.8586437106132507,0.7024052739143372,0.1357069313526153,0.7194470167160034,0.6890227198600769,0.8286965489387512,0.6426013112068176,0.7804798483848572,0.2800769507884979,0.262946605682373,42.0
512-256,0.4,0.001,0.5899054408073425,0.6812702357979419,21.19191956520081,15,0.4377277493476867,0.6704846024513245,0.7489235401153564,0.4597950279712677,0.6316237449645996,0.8586437106132507,0.7024052739143372,0.1357069313526153,0.7194470167160034,0.6890227198600769,0.8286965489387512,0.6426013112068176,0.7804798483848572,0.2800769507884979,0.262946605682373,
1024-512,0.2,0.001,0.5893272757530212,0.6777332954636021,22.045040130615234,13,0.4372793138027191,0.6713635325431824,0.7584034204483032,0.4364249110221863,0.6579566597938538,0.8612256646156311,0.6850404739379883,0.1079252585768699,0.7291653752326965,0.7104092836380005,0.8129499554634094,0.6318552494049072,0.7519271969795227,0.2946091294288635,0.2933743894100189,
512-256,0.43,0.001,0.5884715914726257,0.6835758728982385,33.68837070465088,22,0.45841458439826965,0.6564413905143738,0.7448068261146545,0.456607848405838,0.6241502165794373,0.8605663776397705,0.70093834400177,0.13227646052837372,0.7224713563919067,0.6918926239013672,0.8304740190505981,0.6520884037017822,0.7539969086647034,0.2821568250656128,0.2597920298576355,42.0
512-256,0.2,0.001,0.5858681201934814,0.6853606386654372,18.159475088119507,13,0.432047426700592,0.6527431011199951,0.7499549984931946,0.4464297890663147,0.6454018950462341,0.8559169769287109,0.682136595249176,0.0997691005468368,0.7371999621391296,0.6849355697631836,0.8208910822868347,0.6392054557800293,0.7815049290657043,0.2879501283168793,0.2719355225563049,
256-128,0.2,0.001,0.5780977010726929,0.6752793730929612,16.674314260482788,13,0.4299794733524322,0.649794340133667,0.7390881776809692,0.436802476644516,0.623435378074646,0.8588380217552185,0.6705853939056396,0.1156661212444305,0.7293521165847778,0.6687234044075012,0.8222364783287048,0.632707953453064,0.7609120607376099,0.2745640277862549,0.2587804198265075,
512-256,0.0,0.001,0.5737281441688538,0.6725432221140579,12.38509750366211,9,0.4154499471187591,0.6336913108825684,0.7412893176078796,0.4365115165710449,0.6225505471229553,0.846660852432251,0.6456711292266846,0.1180453822016716,0.7406753897666931,0.676902711391449,0.8100379109382629,0.6502472162246704,0.7467465996742249,0.2388267964124679,0.2826145589351654,
1024-512,0.0,0.001,0.5737000703811646,0.6799790150510878,16.192187786102295,10,0.3770285844802856,0.6380563974380493,0.7368483543395996,0.4238746166229248,0.6434482932090759,0.8515934944152832,0.6688343286514282,0.1025581359863281,0.7273119688034058,0.6988747715950012,0.8100367188453674,0.6452382802963257,0.7671974897384644,0.2501614689826965,0.2644387483596802,
256-128,0.4,0.001,0.572494387626648,0.6729146199279684,18.85021734237671,15,0.3993109166622162,0.6444605588912964,0.7385640144348145,0.4427818059921264,0.6009191870689392,0.8640767931938171,0.6911583542823792,0.1295114308595657,0.7031180262565613,0.6803212761878967,0.83291095495224,0.6255656480789185,0.7446557879447937,0.2700536549091339,0.2200067192316055,
512,0.4,0.001,0.5709176659584045,0.6775380370356582,20.46119403839112,15,0.4066704511642456,0.6317996382713318,0.7254006266593933,0.4554183781147003,0.6423974633216858,0.8554823398590088,0.6811580061912537,0.0985814034938812,0.7131906747817993,0.6955758929252625,0.8121367692947388,0.6137819886207581,0.7255212068557739,0.2510307729244232,0.2556191980838775,
512,0.2,0.001,0.5683215260505676,0.6692740065633428,18.94875741004944,14,0.4161716997623443,0.6410556435585022,0.7292096614837646,0.423545092344284,0.6375488638877869,0.851547122001648,0.6766605973243713,0.0878408029675483,0.7216709852218628,0.6947324275970459,0.8046963214874268,0.6129676699638367,0.7174752354621887,0.2490594834089279,0.2606424689292907,
256-128,0.0,0.001,0.5681148767471313,0.6718195795622942,16.058167934417725,13,0.3880891501903534,0.626427412033081,0.7339306473731995,0.4178260862827301,0.6317060589790344,0.8443108201026917,0.6450946927070618,0.1135158464312553,0.7353848814964294,0.6718682646751404,0.8047839999198914,0.6195749044418335,0.7776470184326172,0.2653650045394897,0.2461974322795868,
256,0.4,0.001,0.5659681558609009,0.6726456234520675,20.13549828529358,15,0.3777791261672973,0.6358427405357361,0.7334492802619934,0.4412092268466949,0.6202794909477234,0.8452911972999573,0.6622200012207031,0.1046166718006134,0.711012065410614,0.6975257992744446,0.8097216486930847,0.613336443901062,0.7165051102638245,0.2531054019927978,0.2676275372505188,
128,0.2,0.001,0.5655379891395569,0.6695437666307432,18.580724716186523,15,0.4026851952075958,0.6189701557159424,0.7197777032852173,0.4342178702354431,0.6166675686836243,0.8438694477081299,0.6821194887161255,0.1097360849380493,0.7176006436347961,0.6916528344154358,0.811170220375061,0.6005130410194397,0.7303296327590942,0.2281236052513122,0.2756369411945343,
256,0.2,0.001,0.5638411641120911,0.662506570825221,17.029980182647705,13,0.3913504779338836,0.6359785795211792,0.7309901118278503,0.4231464266777038,0.6212075352668762,0.8460280299186707,0.6641077399253845,0.1018997430801391,0.7003061175346375,0.6675999164581299,0.806060254573822,0.6143319606781006,0.7352756857872009,0.2486511468887329,0.2706844508647918,
512,0.0,0.001,0.5611456036567688,0.6653912276293862,18.32125329971313,13,0.4044235944747925,0.614631712436676,0.720461368560791,0.4110115766525268,0.6240737438201904,0.8416826725006104,0.6577064990997314,0.085770383477211,0.704679548740387,0.6843278408050537,0.8028590083122253,0.6226112246513367,0.7337419390678406,0.2467046231031417,0.2624984681606293,
128,0.4,0.001,0.5604749917984009,0.6665333640174198,20.173383474349976,15,0.383901983499527,0.62213534116745,0.7203583121299744,0.4370628893375397,0.6003720760345459,0.8519696593284607,0.6863762736320496,0.1102899461984634,0.7052239775657654,0.6929295063018799,0.8180968761444092,0.584669828414917,0.7167950868606567,0.2223206311464309,0.2546215355396271,
256,0.0,0.001,0.5566672086715698,0.6588449792806569,17.59001851081848,13,0.3711259365081787,0.6117826104164124,0.7306272387504578,0.4131845235824585,0.6089447140693665,0.8409428000450134,0.6324469447135925,0.0846464335918426,0.7170157432556152,0.6613189578056335,0.8044280409812927,0.628551721572876,0.7567282915115356,0.2312046885490417,0.2570589482784271,
128,0.0,0.001,0.5547057390213013,0.6541160742206813,16.92919158935547,13,0.3931226134300232,0.6235411763191223,0.7158212661743164,0.4161484241485595,0.6035489439964294,0.829966127872467,0.6637863516807556,0.0803279653191566,0.703649640083313,0.6561664938926697,0.8051795363426208,0.6258751749992371,0.7426449656486511,0.210625022649765,0.2501828372478485,
